ObjectName,R,G,B
StaticMeshActor_UAID_E08F4CF5208A0E7402_2035502467,191,79,127
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435512494,191,79,191
StaticMeshActor_UAID_D843AED10BEFF57302_1105810071,191,79,95
StaticMeshActor_UAID_E08F4CF5208A9C7502_2096117549,191,79,159
BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,191,79,223
SM_Wheel_Front_R_vehCar_vehicle05_1_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,255
SM_Wheel_Front_L_vehCar_vehicle05_2_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,127
SM_Wheel_Rear_L_vehCar_vehicle05_3_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,191
SM_Wheel_Rear_R_vehCar_vehicle05_4_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,95
SM_vehCar_vehicle05_No_Wheel_5_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,159
SM_All_Trans_vehCar_vehicle05_6_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A8E7A02_1425269325,95,79,223
,159,79,255
BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,159,79,127
SM_Wheel_Front_R_vehTruck_vehicle04_1_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,159,79,191
SM_Wheel_Front_L_vehTruck_vehicle04_2_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,159,79,95
SM_Wheel_Rear_L_vehTruck_vehicle04_3_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,159,79,159
SM_Wheel_Rear_R_vehTruck_vehicle04_4_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,159,79,223
SM_vehTruck_vehicle04_No_Wheel_5_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,223,79,255
SM_All_Trans_vehTruck_vehicle04_6_BP_VehicleAI_pickup_C_UAID_E08F4CF5208A907A02_1587226677,223,79,127
BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,223,79,191
SM_Wheel_Front_R_vehCar_vehicle02_1_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,223,79,95
SM_Wheel_Front_L_vehCar_vehicle02_2_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,223,79,159
SM_Wheel_Rear_L_vehCar_vehicle02_3_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,223,79,223
SM_Wheel_Rear_R_vehCar_vehicle02_4_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,255,79,79
SM_vehCar_vehicle02_No_Wheel_5_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,127,79,79
SM_All_Trans_vehCar_vehicle02_6_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A907A02_1587294683,191,79,79
BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,95,79,79
SM_Wheel_Front_R_vehCar_vehicle12_1_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,159,79,79
SM_Wheel_Front_L_vehCar_vehicle12_2_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,223,79,79
SM_Wheel_Rear_L_vehCar_vehicle12_3_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,79,255,255
SM_Wheel_Rear_R_vehCar_vehicle12_4_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,79,255,127
SM_vehCar_vehicle12_No_Wheel_5_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,79,255,191
SM_All_Trans_vehCar_vehicle12_6_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A8E7A02_1425557351,79,255,95
BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,255,159
SM_Wheel_Front_R_vehCar_vehicle02_1_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,255,223
SM_Wheel_Front_L_vehCar_vehicle02_2_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,127,255
SM_Wheel_Rear_L_vehCar_vehicle02_3_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,127,127
SM_Wheel_Rear_R_vehCar_vehicle02_4_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,127,191
SM_vehCar_vehicle02_No_Wheel_5_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,127,95
SM_All_Trans_vehCar_vehicle02_6_BP_VehicleAI_SUV1_C_UAID_E08F4CF5208A8C7A02_1212324119,79,127,159
BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,127,223
SM_Wheel_Front_R_vehCar_vehicle03_1_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,255
SM_Wheel_Front_L_vehCar_vehicle03_2_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,127
SM_Wheel_Rear_L_vehCar_vehicle03_3_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,191
SM_Wheel_Rear_R_vehCar_vehicle03_4_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,95
SM_vehCar_vehicle03_No_Wheel_5_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,159
SM_All_Trans_vehCar_vehicle03_6_BP_VehicleAI_C_UAID_E08F4CF5208A897A02_1815901489,79,191,223
BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,255
SM_Wheel_Front_R_vehCar_vehicle12_1_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,127
SM_Wheel_Front_L_vehCar_vehicle12_2_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,191
SM_Wheel_Rear_L_vehCar_vehicle12_3_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,95
SM_Wheel_Rear_R_vehCar_vehicle12_4_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,159
SM_vehCar_vehicle12_No_Wheel_5_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,95,223
SM_All_Trans_vehCar_vehicle12_6_BP_VehicleAI_taxi_C_UAID_E08F4CF5208A907A02_1634098752,79,159,255
BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,159,127
SM_Wheel_Front_R_vehCar_vehicle05_1_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,159,191
SM_Wheel_Front_L_vehCar_vehicle05_2_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,159,95
SM_Wheel_Rear_L_vehCar_vehicle05_3_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,159,159
SM_Wheel_Rear_R_vehCar_vehicle05_4_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,159,223
SM_vehCar_vehicle05_No_Wheel_5_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,223,255
SM_All_Trans_vehCar_vehicle05_6_BP_VehicleAI_SUV2_C_UAID_E08F4CF5208A907A02_1587370689,79,223,127
BP_VehicleAI_policecar_C_UAID_E08F4CF5208A907A02_1633890734,79,223,191
